entity_name,individual_or_organisation,description,location,source,colour
Centre for Documentation & Communication at Western Reserve University,O,,"Cleveland, OH",address book,navy
Dr. Gilbert W. King,I,,"Juniper Ledge, Morningside Avenue, Briarcliff Manor, Westchester County, New York",address book,black
I.B.M. Research,O,,"Mohansic Laboratory, Yorktown, N.Y.",address book,green
Harry Latter,I,,"Roosevelt Hotel, New Orleans, LA",address book,black
Steve & Kay Lee,I,,"5717 S. Harper Avenue, Chicago, IL",address book,black
Albert Leigh,I,,"35 Garrison Road, Brookline, MA",address book,black
Richard L. Libby,I,,,address book,black
Rome Air Development Center,O,,"Griffiss Air Force Base, Rome, N.Y.",address book,red
A.W. Lishawa,I,Sales manager at IBM,,address book,black
H.P. Luhn,I,,,address book,black
I.B.M.,O,,"590 Madison Avenue, New York",address book,green
Magnavox Corporation,O,,"2255 Carmelina Avenue, Los Angeles, CA",address book,grey
Dr. Robert Hayes,I,,,address book,black
Florence Miller,I,,"1407 Gilpin Avenue, Wilmington, DE",address book,black
Maguire Air Force Base,O,,"RAymond 4-2100, Mt. Holly, NJ",address book,red
Sister Lydia Margaret,I,,"St. Margaret�s Convent, Boston, MA",address book,black
St. Margaret's Convent,O,,"Boston,MA",address book,purple
Prof. Richard Martin,I,,,address book,black
University of Texas at Austin,O,,"Austin, Texas",address book,navy
Calvin Mooers,I,,,address book,black
Zator Co.,O,,"140 1/2 Mt. Auburn St., Cambridge, MA",address book,grey
Edward L. Merrigan,I,,,address book,black
Dr. Allen Newell,I,,,address book,black
Carnegie Tech,O,,"5956 Phillips, Pittsburgh, PA",address book,grey
John O'Connor,I,,,address book,black
Institute for Cooperative Research at the University of Pennsylvania,O,,"Philadelphia, PA",address book,navy
A.G. Oettinger,I,,,address book,black
Computation Laboratory at Harvard University,O,,"Cambridge, MA",address book,navy
Pendle Hill,O,"A Quaker study, retreat, and conference centre","Wallingford, PA",address book,purple
W. Prentice (Dean),I,,,address book,black
Charles Price,I,,,address book,black
Virginia Theological Seminary,O,,"Alexandria, VA",address book,purple
Prof. Herbert H. Paper,I,,,address book,black
Department of Near Eastern Studies at the University of Michigan,O,,"Ann Arbor, MI",address book,navy
Charles Parsons,I,,"1154 Massachusetts Ave, Cambridge, MA",address book,black
Dr. Erwin Reifler,I,,,address book,black
Department of Far Eastern Languages at the University of Washington,O,,"Seattle, WA",address book,navy
Bertrand Renaud,I,(Friendly garage),"409 Baltimore Pike, Morton, PA",address book,black
Ramo-Wooldridge Corporation,O,,"Air Post Station, Los Angeles, CA",address book,green
Dr. F. Rigby,I,,,address book,black
Mathematical Sciences Division,O,,,address book,red
Office of Naval Research,O,,"Washington, D.C.",address book,red
C. Reinson,I,,,address book,black
Dr. A.E. Ruark,I,,"4101 Byeford County, Kensington, MD",address book,black
U.S. Atomic Energy Commission,O,,"Washington, D.C.",address book,red
Mrs. Ida Rhodes,I,,,address book,black
National Bureau of Standards,O,,"Washington, D.C.",address book,red
Department of History at Syracuse University,O,,"Syracuse, N.Y.",address book,navy
Murray E. Sherry,I,,,address book,black
Air Force Cambridge Research Center,O,,,address book,red
George Shiner,I,,,address book,black
Herbert A. Simon,I,,,address book,black
Prof. Patrick Suppes,I,,,address book,black
Applied Mathematics & Statistics Lab at Stanford University,O,,"Serra House, Stanford, CA",address book,navy
Dr. Don Swanson,I,,,address book,black
Arnold Shostak,I,,,address book,black
Electronics Branch,O,,,address book,red
Office of Naval Engineering,O,,,address book,red
Department of the Navy,O,,"Washington, D.C.",address book,red
Prof. Cliff L. Stanley,I,,,address book,black
Eugene Wall,I,,,address book,black
DuPont Co.,O,,"Wilmington, DE",address book,grey
Canon Theodore Wedel,I,,,address book,black
College of Preachers,O,,"Woodley Road, Washington, D.C.",address book,purple
Dan Wilson,I,,,address book,black
Dr. Harold Wooster,I,,"2108 Seminary Rd, Silver Springs, MD",address book,black
Office of Scientific Research,O,,,address book,red
Colin Wordley,I,,"558 86th St, Brooklyn, New York",address book,black
Dr. Marshall Yovits,I,,,address book,black
Victor Yngve,I,,,address book,black
Electronics Research Lab at Massachusetts Institute of Technology,O,,"Cambridge, MA",address book,navy
Frances Ellis,I,,"3445 Vineville Avenue, Macon, GA",handwritten address,black
Dr. Lawrence Hackstaff,I,,"13 Mills Place, Crawfordsville, IA",handwritten address,black
Wabash College,O,,"Crawfordsville, IA",handwritten address,navy
Joan Frye,I,,"University Station 7980, Austin, TX",handwritten address,black
Euell & Frieda Gibbons,I,,"Tanguy Homesteads, Glen Mills, PA",handwritten address,black
Tanguy Homesteads,O,,,handwritten address,purple
Ellen Haring,I,,,handwritten address,black
Wellesley College,O,,"Wellesley, MA",handwritten address,navy
Hotel Martinique,O,,"Broadway and 32nd St, New York",handwritten address,grey
Amelia Janiotis,I,,,handwritten address,black
Department of Slavic Studies at Wayne State University,O,,"Detroit, MI",handwritten address,navy
Prof. Harry Josselson,I,,,handwritten address,black
Arnold Koslow,I,,,handwritten address,black
Columbia University,O,,New York,handwritten address,navy
Russell Kirsch,I,,,handwritten address,black
Dr. Dean W. Lytle,I,,,handwritten address,black
Department of Electrical Engineering at the University of Washington,O,,"Seattle, WA",handwritten address,navy
University of Washington,O,,"Seattle, WA",address book,navy
D. Lieberman,I,,,handwritten address,black
Massachusetts Institute of Technology,O,,"Cambridge, MA",handwritten address,navy
Hague Mouton,O,Publisher,,handwritten address,grey
James T. McKinstry,I,,"duPont Building, Wilmington, DE",handwritten address,black
H.F. Pommer,I,,"Meadville, PA",handwritten address,black
Oskar Reinson,I,Rome ADC,,handwritten address,black
Renee Robinson,I,,,handwritten address,black
Miss Mary Elizabeth Stevens,I,,"122 Hilltop Road, Silver Springs, MD",handwritten address,black
Mortimer Taube,I,,,handwritten address,black
Documentation Inc.,O,,"2521 Connecticut Ave, N.W., Washington, D.C.",handwritten address,grey
Orla Delaney,I,PhD candidate and Research Assistant on the Masterman archive project,"St John's College, Cambridge",contemporary research,pink
Caroline Bassett,I,Professor of Digital Humanities and PI on the Masterman archive project,"Corpus Christi College, Cambridge",contemporary research,pink
Cambridge Digital Humanities,O,Research group at Cambridge since the late 2010s,"Cambridge, UK",contemporary research,pink
